stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,stop_desc,stop_url,platform_code
"U2495N2795","Hradištko,Brunšov",49.855799,14.402819,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Hradištko,Brunšov",
"U2490N2796","Štěchovice",49.851667,14.406175,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Štěchovice",
"U2489N2797","Davle,U Kiliána",49.879792,14.389106,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Davle,U Kiliána",
"U4279N2798","Davle,Portus",49.875733,14.390864,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Davle,Portus",
"U2515N2799","Slapy,Na Polesí",49.82062,14.385762,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Slapy,Na Polesí",
"U2516N2800","Slapy,Motorest",49.816845,14.395192,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Slapy,Motorest",
"U2519N2801","Slapy,Na Rovínku",49.819595,14.406371,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Slapy,Na Rovínku",
"U2520N2802","Štěchovice,Třebenice",49.824834,14.43978,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Štěchovice,Třebenice",
"U2521N2803","Rabyně,Hl.přístav",49.822726,14.432042,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Rabyně,Hl.přístav",
"U2522N2804","Rabyně,Nová Rabyně",49.809989,14.429741,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Rabyně,Nová Rabyně",
"U2523N2805","Slapy,Jednota",49.812739,14.398533,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Slapy,Jednota",
"U2524N2806","Buš",49.803284,14.384114,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Buš",
"U9882N2807","Buš,Pod Klíčem",49.800241,14.387944,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Buš,Pod Klíčem",
"U2525N2808","Čím,Hrdlička",49.783113,14.38564,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Čím,Hrdlička",
"U2526N2809","Čím",49.779791,14.376781,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Čím",
"U2534N2810","Korkyně",49.780499,14.351887,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Korkyně",
"U2536N2811","Nový Knín,Sudovice",49.786725,14.307667,1,,0,,"https://pid.cz/zastavkova-tabla/?stop=Nový Knín,Sudovice",
"U4723N2812","Nový Knín,Starý Knín",49.787854,14.281789,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Nový Knín,Starý Knín",
"U4722N2813","Mokrovraty,U Statku",49.793385,14.258527,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Mokrovraty,U Statku",
"U3010N2814","Mokrovraty",49.796009,14.248155,1,,2,,"https://pid.cz/zastavkova-tabla/?stop=Mokrovraty",
